index,binder_name,page_number,slot_number,card_id,card_name,set_name,card_number,card_market_value
2:1:1,2,1,1,base4-1,Alakazam,NOT_FOUND,1,0.0
2:1:2,2,1,2,base4-2,Blastoise,NOT_FOUND,2,0.0
2:1:3,2,1,3,base4-3,Chansey,NOT_FOUND,3,0.0
2:1:4,2,1,4,base4-4,Charizard,NOT_FOUND,4,0.0
2:1:5,2,1,5,base4-5,Clefable,NOT_FOUND,5,0.0
2:1:6,2,1,6,base4-6,Clefairy,NOT_FOUND,6,0.0
2:1:7,2,1,7,base4-7,Gyarados,NOT_FOUND,7,0.0
2:1:8,2,1,8,base4-8,Hitmonchan,NOT_FOUND,8,0.0
2:1:9,2,1,9,base4-9,Magneton,NOT_FOUND,9,0.0
2:2:1,2,2,1,base4-10,Mewtwo,NOT_FOUND,10,0.0
2:2:2,2,2,2,base4-11,Nidoking,NOT_FOUND,11,0.0
2:2:3,2,2,3,base4-12,Nidoqueen,NOT_FOUND,12,0.0
2:2:4,2,2,4,base4-13,Ninetales,NOT_FOUND,13,0.0
2:2:5,2,2,5,base4-14,Pidgeot,NOT_FOUND,14,0.0
2:2:6,2,2,6,base4-15,Poliwrath,NOT_FOUND,15,0.0
2:2:7,2,2,7,base4-16,Raichu,NOT_FOUND,16,0.0
2:2:8,2,2,8,base4-17,Scyther,NOT_FOUND,17,0.0
2:2:9,2,2,9,base4-18,Venusaur,NOT_FOUND,18,0.0
2:3:1,2,3,1,base4-19,Wigglytuff,NOT_FOUND,19,0.0
2:3:2,2,3,2,base4-20,Zapdos,NOT_FOUND,20,0.0
2:3:3,2,3,3,base4-21,Beedrill,NOT_FOUND,21,0.0
2:3:4,2,3,4,base4-22,Dragonair,NOT_FOUND,22,0.0
2:3:5,2,3,5,base4-23,Dugtrio,NOT_FOUND,23,0.0
2:3:6,2,3,6,base4-24,Electabuzz,NOT_FOUND,24,0.0
2:3:7,2,3,7,base4-25,Electrode,NOT_FOUND,25,0.0
2:3:8,2,3,8,base4-26,Kangaskhan,NOT_FOUND,26,0.0
2:3:9,2,3,9,base4-27,Mr. Mime,NOT_FOUND,27,0.0
2:4:1,2,4,1,base4-28,Pidgeotto,NOT_FOUND,28,0.0
2:4:2,2,4,2,base4-29,Pinsir,NOT_FOUND,29,0.0
2:4:3,2,4,3,base4-30,Snorlax,NOT_FOUND,30,0.0
2:4:4,2,4,4,base4-31,Venomoth,NOT_FOUND,31,0.0
2:4:5,2,4,5,base4-32,Victreebel,NOT_FOUND,32,0.0
2:4:6,2,4,6,base4-33,Arcanine,NOT_FOUND,33,0.0
2:4:7,2,4,7,base4-34,Butterfree,NOT_FOUND,34,0.0
2:4:8,2,4,8,base4-35,Charmeleon,NOT_FOUND,35,0.0
2:4:9,2,4,9,base4-36,Dewgong,NOT_FOUND,36,0.0
2:5:1,2,5,1,base4-37,Dodrio,NOT_FOUND,37,0.0
2:5:2,2,5,2,base4-38,Dratini,NOT_FOUND,38,0.0
2:5:3,2,5,3,base4-39,Exeggutor,NOT_FOUND,39,0.0
2:5:4,2,5,4,base4-40,Farfetch'd,NOT_FOUND,40,0.0
2:5:5,2,5,5,base4-41,Fearow,NOT_FOUND,41,0.0
2:5:6,2,5,6,base4-42,Growlithe,NOT_FOUND,42,0.0
